Egendomstyp;Rubrik;Utropspris (kr);Startpris (kr);Utlämningsform;Försäljningsform;Försäljningsort;Försäljningsslut;Betalat belopp (kr);Vill ha frakt
Fyrhjuling/ATV;Atv ADLY 300 SPORT;10 000,00;5 000,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;5200;Nej
Fyrhjuling/ATV;Atv DINLI 801 270;15 000,00;7 400,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;7800;Nej
Övrigt (Hobby & Samlarprylar);50 st Diverse LP/EP skivor;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Jönköping;2019-01-08;250;Ja
Serietidningar;21 st Buffalo Bill;600,00;30,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Jönköping;2019-01-08;40;Ja
Övrigt (Hobby & Samlarprylar);Veckotidningar 7 st;600,00;30,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Jönköping;2019-01-08;30;Ja
Serietidningar;42 st Buffalo Bill och Tom Mix;600,00;30,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Jönköping;2019-01-08;325;Ja
Lastbil & Buss;MERCEDES-BENZ 120 CDI ;55 000,00;27 500,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;62500;Nej
Skogsmaskiner;Fyrhjuling/ATV;60 000,00;30 000,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;47000;Nej
Belysning;Lysrörsarmatur Aura Light ;650,00;300,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;300;Nej
Belysning;Lysrörsarmatur Aura Light 2550;650,00;300,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;300;Nej
Belysning;Lysrörsarmatur Aura Light ;650,00;300,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;300;Nej
Belysning;Lysrörsarmatur Aura Light ;650,00;300,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;300;Nej
Byggmaterial;Laminatgolv Ek ;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;500;Nej
Belysning;Lysrörsarmatur ;650,00;300,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;300;Nej
Belysning;Lysrörsarmatur Aura Light 2550;650,00;300,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;300;Nej
Industrimaskiner;Clean Polywash;3 500,00;1 700,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;3500;Nej
Diskmaskin;Electrolux ESF7000W1 ;3 500,00;1 700,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;3000;Nej
Gitarr/Bas/Förstärkare;Elbas Aria Pro II;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;1300;Nej
Gitarr/Bas/Förstärkare;Gitarr Takamine ;1 300,00;650,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;2700;Nej
Gitarr/Bas/Förstärkare;Förstärkare Hartke;400,00;30,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;900;Nej
Barnartiklar & Leksaker;Bilbarnstol ;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;900;Nej
Gitarr/Bas/Förstärkare;Elbas De Armond;500,00;30,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;325;Ja
Övrigt (Möbler & Heminredning);Servveringsvagn;500,00;30,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;30;Nej
Övrigt (Möbler & Heminredning);Serveringsvagn;300,00;30,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;700;Nej
Gitarr/Bas/Förstärkare;Halvakustisk gitarr;500,00;30,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;1600;Nej
Gitarr/Bas/Förstärkare;Elgitarr Epiphone;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;3200;Nej
Gitarr/Bas/Förstärkare;Elgitarr Epiphone ;1 500,00;750,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;3300;Nej
Gitarr/Bas/Förstärkare;Elbas Squier;800,00;400,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;850;Nej
Gitarr/Bas/Förstärkare;Elgitarr Cort;500,00;30,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;800;Nej
Övrigt (Musikutrustning & Instrument);2 Högtalare Canton;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;3100;Nej
TV & Projektor;TV LG ;2 000,00;1 000,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;3300;Nej
Belysning;Kristallkrona ;800,00;400,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;475;Nej
Belysning;Kristallkrona ;1 500,00;800,00;Ska hämtas;Intern Nätauktion;Jönköping;2019-01-08;800;Nej
Antikt & Konst;Staty rovfågel ;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;2700;Nej
Lätt lastbil;Range Rover 2.5 DSE;25 000,00;12 500,00;Ska hämtas;Intern Nätauktion;Varberg;2019-01-09;16250;Nej
Personbil;Mercedes-Benz 220 D;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Varberg;2019-01-09;15250;Nej
Övrigt (Motorcyklar);Motorcykel BSA A 10;20 000,00;10 000,00;Ska hämtas;Intern Nätauktion;Varberg;2019-01-09;33500;Nej
Lantbruksmaskiner;Grävmaskin Thwaites Alldig;30 000,00;15 000,00;Ska hämtas;Intern Nätauktion;Varberg;2019-01-09;45000;Nej
Övrigt (Motorcyklar); Motorcykel BSA A 10;20 000,00;10 000,00;Ska hämtas;Intern Nätauktion;Varberg;2019-01-09;27000;Nej
Belysning;Golvlampa/Staty 5 socklar;6 000,00;3 000,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;8600;Nej
Övrigt (Möbler & Heminredning);Uppstoppat älghuvud;7 000,00;3 500,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;9600;Nej
Övrigt (Möbler & Heminredning);Leopard i plast på stativ;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;2600;Nej
Belysning;Golvlampa/Staty;6 000,00;3 000,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;8000;Nej
Övrigt (Möbler & Heminredning);Tiger i plast;3 000,00;1 500,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;5200;Nej
Antikt & Konst;2 st statyer ;5 000,00;2 500,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;9600;Nej
Antikt & Konst;4 st statyer av giraffer ;2 500,00;1 200,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;6000;Nej
Mattor;Persisk matta;3 000,00;1 500,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Gävle;2019-01-09;1600;Ja
Golf;Golfklubbor m.m;3 600,00;1 800,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;3200;Nej
Gitarr/Bas/Förstärkare;Elgitarr märkt Fender  ;10 000,00;5 000,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;7400;Nej
Antikt & Konst;Litograf i av Lena Linderholm;2 500,00;1 200,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;1300;Nej
Övrigt (Bildelar & Biltillbehör);Hyundai i 30 CRDI ;61 000,00;30 500,00;Ska hämtas;Intern Nätauktion;Gävle;2019-01-09;54000;Nej
Smycken;Klackring;3 400,00;2 200,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Eskilstuna;2019-01-09;3300;Ja
Verktyg;Kompressor Meec Tools;700,00;350,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;700;Nej
Verktyg;Plåtvals Jouanel;7 000,00;3 500,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;4100;Nej
Verktyg;Kap & Gersåg Einhell ;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;1000;Nej
Verktyg;Handtruck Biltema;600,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;750;Nej
Verktyg;Högtryckstvätt Kränzle 185;2 500,00;600,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;700;Nej
Verktyg;Högtryckstvätt Kränzle 3270;5 000,00;1 200,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;4600;Nej
Verktyg;Cirkelsåg DeWalt ;800,00;400,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Eskilstuna;2019-01-09;1100;Nej
Verktyg;Elverk SG 2200 Stanley;1 500,00;700,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;1000;Nej
Antikt & Konst;Tavla Emil Plesko;200,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;50;Nej
Hemtextil & Prydnad;Beige lockurna ;200,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;80;Nej
Antikt & Konst;Tavla signerad Mago;800,00;400,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;550;Nej
Antikt & Konst;Tavla signerad Mago;800,00;400,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;700;Nej
Antikt & Konst;Tryckta motiv Meyer Gasters;800,00;400,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;400;Nej
Antikt & Konst;Tryckta motiv Meyer Gasters;800,00;400,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;400;Nej
Antikt & Konst;Tryckta motiv Meyer Gasters;600,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;30;Nej
Antikt & Konst;Tryckta motiv Meyer Gasters;600,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;110;Nej
Smycken;Halskedja i guld 21K ;7 400,00;5 000,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Eskilstuna;2019-01-09;8600;Ja
Antikt & Konst;Tryckta motiv Meyer Gasters;600,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;30;Nej
Antikt & Konst;Tryckta motiv Meyer Gasters;600,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;30;Nej
Antikt & Konst;Tryckta motiv Meyer Gasters;600,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;30;Nej
Smycken;Guldring 21K ;3 000,00;2 000,00;Kan skickas, [Vadderad påse B (340x470)];Intern Nätauktion;Eskilstuna;2019-01-09;3300;Ja
Klockor;Armbandsur märkt Thomas Sabo;600,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Eskilstuna;2019-01-09;1400;Ja
Klockor;Armbandsur märkt Calvin Klein;600,00;30,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Eskilstuna;2019-01-09;700;Ja
Verktyg;Varmluftsmaskin;4 000,00;2 000,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Eskilstuna;2019-01-09;2000;Ja
Klockor;Armbandsur märkt Triwa Nevil;600,00;30,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Eskilstuna;2019-01-09;550;Ja
TV & Projektor;Apple TV;600,00;30,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Eskilstuna;2019-01-09;650;Ja
Övrigt (Ljud & Bild);Bluetoothhögtalare;600,00;30,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Eskilstuna;2019-01-09;1200;Ja
Övrigt (Musikutrustning & Instrument);2 st DJ-spelare Denon DN-S1000;3 000,00;700,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Eskilstuna;2019-01-09;750;Ja
Verktyg;4st Makita elverktyg ;2 000,00;500,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Eskilstuna;2019-01-09;650;Ja
TV & Projektor;Smart-TV Samsung ;10 000,00;5 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;6600;Nej
Övrigt (Ljud & Bild);Högtalare Harmon Kardon;1 500,00;700,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;950;Nej
Mattor;Orientalisk matta ;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;500;Nej
Husvagn;Polar 620 Aero;40 000,00;20 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;40500;Nej
Personbil;Audi A4 2.0 TDI;140 000,00;70 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;131000;Nej
Övrigt (Bygg & Trädgård);Grovdammsugare Nevada 3 st;1 800,00;400,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;1700;Nej
Trädgårdsmaskiner;Snöslunga Stiga Snowfox;7 000,00;3 500,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;5800;Nej
Lastbil & Buss;VW Transporter skåp 2,5;80 000,00;40 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;57000;Nej
Personbil;Cadillac 62;80 000,00;40 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;86000;Nej
Lätt lastbil;Reanult Traffic dCi 115;40 000,00;20 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;22500;Nej
Personbil;Land/Range Rover Sport SE;80 000,00;40 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;67500;Nej
Övrigt (Bildelar & Biltillbehör);Högtryckstvätt Nilfisk MC7P;5 000,00;1 200,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;2000;Nej
Badrum/WC/Bastu;Tvättställ Twyford ;600,00;30,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;40;Nej
Övrigt (Motorcyklar);Motorcykel Matchless G9 500cc;60 000,00;30 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;42000;Nej
Personbil;Man Concorde Liner 990 M;1 000 000,00;500 000,00;Ska hämtas;Intern Nätauktion;Eskilstuna;2019-01-09;740000;Nej
Lätt lastbil;Citroen Berlingo;25 000,00;12 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;23000;Nej
Personbil;Citroen C3;50 000,00;25 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;45500;Nej
Personbil;VW PASSAT 2.0 TDI DSG ;40 000,00;20 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;44500;Nej
Väskor;"Handväska märkt ""Michael Kors.";3 000,00;700,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Sundbyberg;2019-01-10;1200;Nej
Gitarr/Bas/Förstärkare;Gitarr Valencia CG160;500,00;30,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;250;Nej
Klockor;Audemars Piguet Royal Oak;450 000,00;225 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;360000;Nej
Kläder & Skor;"Damskor märkta ""Michael Kors""";1 500,00;350,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;425;Nej
Mountainbike;Mountainbike;1 000,00;500,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;650;Nej
Övrigt (Ljud & Bild);Kamerastativ Manfrotto;1 200,00;600,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Sundbyberg;2019-01-10;850;Ja
Väskor;Svart axelremsväska ;1 000,00;250,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;250;Ja
Antikt & Konst;Moa Bartling Konsttryck;800,00;400,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;400;Nej
Hemtextil & Prydnad;Handdukar märkta Gant;1 000,00;500,00;Kan skickas, [Wellåda 1A (320x225x95)];Intern Nätauktion;Sundbyberg;2019-01-10;700;Ja
Antikt & Konst;Skålar märkta Orrefors;600,00;30,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;140;Nej
Antikt & Konst;Skålar märkta Orrefors;600,00;30,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;120;Nej
Övrigt (Möbler & Heminredning);Ljusstakar märkta Stelton;1 000,00;500,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;850;Nej
Gitarr/Bas/Förstärkare;Elgitarr;500,00;30,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;225;Nej
Verktyg;Verktygspaket Makita;1 500,00;800,00;Kan skickas, [Wellåda 4A (560x330x406)];Intern Nätauktion;Sundbyberg;2019-01-10;1700;Ja
Kläder & Skor;Skor märkt Christian Louboutin;5 000,00;1 200,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2019-01-10;1300;Ja
Kläder & Skor;"Damskor märkt ""Jimmy Choo"".";3 500,00;800,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2019-01-10;850;Ja
Kläder & Skor;"Damskor märkta ""Jimmy Choo""";3 500,00;800,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2019-01-10;800;Ja
Kläder & Skor;"Kjol märkt ""Oxygene""";1 500,00;300,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;300;Ja
Kläder & Skor;"Damskor märkt ""Michael Kors"".";700,00;100,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2019-01-10;250;Ja
Kläder & Skor;"Damskor Märkta ""Jimmy Choo""";5 000,00;1 000,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;1000;Ja
Kläder & Skor;Skor märkt Christian Louboutin;3 000,00;700,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2019-01-10;950;Ja
Kläder & Skor;"Damskor märkta ""Jimmy Choo""";1 500,00;350,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2019-01-10;900;Ja
Kläder & Skor;"Klänning märkt ""Coast""";1 500,00;300,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;325;Ja
Kläder & Skor;"Klänning märkt ""Karen Millen""";1 500,00;300,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;375;Ja
Kläder & Skor;"Damskor märkta ""Versace"".";1 800,00;450,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;475;Ja
Kläder & Skor;"Damskor märkta ""Karen Millen"".";1 000,00;250,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2019-01-10;250;Ja
Kläder & Skor;"Damskor märkt ""Michael Kors"".";700,00;100,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2019-01-10;325;Ja
Kläder & Skor;"Damskor märkta ""Jimmy Choo""";5 000,00;1 200,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2019-01-10;2100;Nej
Kläder & Skor;"Damskor märkta ""Karen Millen"".";900,00;200,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;325;Nej
Kläder & Skor;"Damskor märkt ""Karen Millen"".";900,00;200,00;Kan skickas, [Wellåda 3A (500x300x350)];Intern Nätauktion;Sundbyberg;2019-01-10;375;Nej
Kläder & Skor;"Klänning märkt ""Karen Millen""";2 000,00;500,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;500;Nej
Kläder & Skor;"Klänning  ""Märkt Karen Millen""";900,00;200,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;325;Nej
Kläder & Skor;"Skärp märkt ""Louis Vuitton""";2 000,00;500,00;Kan skickas, [Wellåda 2A (320x225x250)];Intern Nätauktion;Sundbyberg;2019-01-10;1100;Nej
Smycken;"Armband märkt ""Louis Vuitton""";2 000,00;500,00;Kan skickas, [Vadderad påse A (340x470)];Intern Nätauktion;Sundbyberg;2019-01-10;1300;Nej
Klockor;Armbandsur Breguet;175 000,00;88 000,00;Ska hämtas;Intern Nätauktion;Sundbyberg;2019-01-10;120000;Nej
